Freq_Hz,Freq_GHz,S21_dB,S11_dB
15000000,0.0150,-200.0000,0.0000
20981964,0.0210,-200.0000,0.0000
26963928,0.0270,-200.0000,-0.0000
32945892,0.0329,-200.0000,0.0000
38927856,0.0389,-195.9413,0.0000
44909820,0.0449,-190.9670,0.0000
50891784,0.0509,-186.6136,-0.0000
56873747,0.0569,-182.7425,-0.0000
62855711,0.0629,-179.2568,0.0000
68837675,0.0688,-176.0861,0.0000
74819639,0.0748,-173.1776,-0.0000
80801603,0.0808,-170.4908,0.0000
86783567,0.0868,-167.9939,0.0000
92765531,0.0928,-165.6613,-0.0000
98747495,0.0987,-163.4723,0.0000
104729459,0.1047,-161.4100,-0.0000
110711423,0.1107,-159.4601,-0.0000
116693387,0.1167,-157.6106,0.0000
122675351,0.1227,-155.8515,-0.0000
128657315,0.1287,-154.1739,-0.0000
134639279,0.1346,-152.5703,-0.0000
140621242,0.1406,-151.0343,-0.0000
146603206,0.1466,-149.5601,-0.0000
152585170,0.1526,-148.1426,-0.0000
158567134,0.1586,-146.7775,-0.0000
164549098,0.1645,-145.4606,-0.0000
170531062,0.1705,-144.1886,-0.0000
176513026,0.1765,-142.9582,-0.0000
182494990,0.1825,-141.7666,-0.0000
188476954,0.1885,-140.6112,-0.0000
194458918,0.1945,-139.4896,-0.0000
200440882,0.2004,-138.3997,-0.0000
206422846,0.2064,-137.3397,-0.0000
212404810,0.2124,-136.3076,-0.0000
218386774,0.2184,-135.3020,-0.0000
224368737,0.2244,-134.3212,-0.0000
230350701,0.2304,-133.3640,-0.0000
236332665,0.2363,-132.4290,-0.0000
242314629,0.2423,-131.5151,-0.0000
248296593,0.2483,-130.6212,-0.0000
254278557,0.2543,-129.7462,-0.0000
260260521,0.2603,-128.8893,-0.0000
266242485,0.2662,-128.0495,-0.0000
272224449,0.2722,-127.2260,-0.0000
278206413,0.2782,-126.4181,-0.0000
284188377,0.2842,-125.6251,-0.0000
290170341,0.2902,-124.8462,-0.0000
296152305,0.2962,-124.0808,-0.0000
302134269,0.3021,-123.3284,-0.0000
308116232,0.3081,-122.5883,-0.0000
314098196,0.3141,-121.8601,-0.0000
320080160,0.3201,-121.1432,-0.0000
326062124,0.3261,-120.4372,-0.0000
332044088,0.3320,-119.7416,-0.0000
338026052,0.3380,-119.0560,-0.0000
344008016,0.3440,-118.3800,-0.0000
349989980,0.3500,-117.7132,-0.0000
355971944,0.3560,-117.0552,-0.0000
361953908,0.3620,-116.4057,-0.0000
367935872,0.3679,-115.7644,-0.0000
373917836,0.3739,-115.1310,-0.0000
379899800,0.3799,-114.5051,-0.0000
385881764,0.3859,-113.8865,-0.0000
391863727,0.3919,-113.2749,-0.0000
397845691,0.3978,-112.6700,-0.0000
403827655,0.4038,-112.0716,-0.0000
409809619,0.4098,-111.4795,-0.0000
415791583,0.4158,-110.8933,-0.0000
421773547,0.4218,-110.3130,-0.0000
427755511,0.4278,-109.7382,-0.0000
433737475,0.4337,-109.1688,-0.0000
439719439,0.4397,-108.6046,-0.0000
445701403,0.4457,-108.0454,-0.0000
451683367,0.4517,-107.4909,-0.0000
457665331,0.4577,-106.9412,-0.0000
463647295,0.4636,-106.3958,-0.0000
469629259,0.4696,-105.8548,-0.0000
475611222,0.4756,-105.3179,-0.0000
481593186,0.4816,-104.7850,-0.0000
487575150,0.4876,-104.2560,-0.0000
493557114,0.4936,-103.7306,-0.0000
499539078,0.4995,-103.2089,-0.0000
505521042,0.5055,-102.6905,-0.0000
511503006,0.5115,-102.1754,-0.0000
517484970,0.5175,-101.6635,-0.0000
