Freq_Hz,Freq_GHz,S21_dB,S11_dB
10000000,0.0100,-0.0001,-46.7861
17995992,0.0180,-0.0003,-41.6854
25991984,0.0260,-0.0006,-38.4965
33987976,0.0340,-0.0010,-36.1728
41983968,0.0420,-0.0016,-34.3452
49979960,0.0500,-0.0023,-32.8402
57975952,0.0580,-0.0030,-31.5620
65971944,0.0660,-0.0039,-30.4522
73967936,0.0740,-0.0049,-29.4725
81963928,0.0820,-0.0060,-28.5966
89959920,0.0900,-0.0072,-27.8053
97955912,0.0980,-0.0085,-27.0846
105951904,0.1060,-0.0099,-26.4236
113947896,0.1139,-0.0114,-25.8138
121943888,0.1219,-0.0130,-25.2486
129939880,0.1299,-0.0147,-24.7225
137935872,0.1379,-0.0164,-24.2309
145931864,0.1459,-0.0183,-23.7703
153927856,0.1539,-0.0202,-23.3375
161923848,0.1619,-0.0222,-22.9299
169919840,0.1699,-0.0242,-22.5452
177915832,0.1779,-0.0264,-22.1815
185911824,0.1859,-0.0285,-21.8371
193907816,0.1939,-0.0308,-21.5105
201903808,0.2019,-0.0331,-21.2005
209899800,0.2099,-0.0354,-20.9059
217895792,0.2179,-0.0378,-20.6257
225891784,0.2259,-0.0402,-20.3591
233887776,0.2339,-0.0426,-20.1051
241883768,0.2419,-0.0451,-19.8633
249879760,0.2499,-0.0475,-19.6328
257875752,0.2579,-0.0500,-19.4131
265871743,0.2659,-0.0525,-19.2037
273867735,0.2739,-0.0550,-19.0042
281863727,0.2819,-0.0574,-18.8141
289859719,0.2899,-0.0599,-18.6330
297855711,0.2979,-0.0624,-18.4606
305851703,0.3059,-0.0648,-18.2966
313847695,0.3138,-0.0672,-18.1406
321843687,0.3218,-0.0695,-17.9925
329839679,0.3298,-0.0718,-17.8519
337835671,0.3378,-0.0741,-17.7187
345831663,0.3458,-0.0763,-17.5927
353827655,0.3538,-0.0784,-17.4738
361823647,0.3618,-0.0805,-17.3616
369819639,0.3698,-0.0825,-17.2562
377815631,0.3778,-0.0844,-17.1575
385811623,0.3858,-0.0862,-17.0652
393807615,0.3938,-0.0880,-16.9793
401803607,0.4018,-0.0896,-16.8997
409799599,0.4098,-0.0911,-16.8264
417795591,0.4178,-0.0926,-16.7593
425791583,0.4258,-0.0939,-16.6984
433787575,0.4338,-0.0951,-16.6436
441783567,0.4418,-0.0962,-16.5949
449779559,0.4498,-0.0971,-16.5524
457775551,0.4578,-0.0980,-16.5160
465771543,0.4658,-0.0987,-16.4858
473767535,0.4738,-0.0992,-16.4618
481763527,0.4818,-0.0996,-16.4441
489759519,0.4898,-0.0999,-16.4326
497755511,0.4978,-0.1000,-16.4276
505751503,0.5058,-0.1000,-16.4290
513747495,0.5137,-0.0998,-16.4370
521743487,0.5217,-0.0994,-16.4518
529739479,0.5297,-0.0989,-16.4734
537735471,0.5377,-0.0983,-16.5020
545731463,0.5457,-0.0975,-16.5378
553727455,0.5537,-0.0965,-16.5810
561723447,0.5617,-0.0954,-16.6319
569719439,0.5697,-0.0941,-16.6906
577715431,0.5777,-0.0926,-16.7575
585711423,0.5857,-0.0910,-16.8328
593707415,0.5937,-0.0892,-16.9169
601703407,0.6017,-0.0873,-17.0102
609699399,0.6097,-0.0853,-17.1131
617695391,0.6177,-0.0830,-17.2260
625691383,0.6257,-0.0807,-17.3496
633687375,0.6337,-0.0782,-17.4842
641683367,0.6417,-0.0756,-17.6307
649679359,0.6497,-0.0729,-17.7897
657675351,0.6577,-0.0700,-17.9620
665671343,0.6657,-0.0670,-18.1485
673667335,0.6737,-0.0640,-18.3503
681663327,0.6817,-0.0608,-18.5684
689659319,0.6897,-0.0576,-18.8042
697655311,0.6977,-0.0543,-19.0593
705651303,0.7057,-0.0509,-19.3353
713647295,0.7136,-0.0475,-19.6341
721643287,0.7216,-0.0441,-19.9583
729639279,0.7296,-0.0406,-20.3103
737635271,0.7376,-0.0372,-20.6936
745631263,0.7456,-0.0338,-21.1118
753627255,0.7536,-0.0304,-21.5697
761623246,0.7616,-0.0270,-22.0729
769619238,0.7696,-0.0238,-22.6285
777615230,0.7776,-0.0206,-23.2452
785611222,0.7856,-0.0176,-23.9346
793607214,0.7936,-0.0147,-24.7115
801603206,0.8016,-0.0120,-25.5962
809599198,0.8096,-0.0095,-26.6170
817595190,0.8176,-0.0072,-27.8153
825591182,0.8256,-0.0052,-29.2549
833587174,0.8336,-0.0034,-31.0424
841583166,0.8416,-0.0020,-33.3756
849579158,0.8496,-0.0009,-36.6933
857575150,0.8576,-0.0003,-42.3548
865571142,0.8656,-0.0000,-67.6250
873567134,0.8736,-0.0002,-43.1020
881563126,0.8816,-0.0009,-36.7054
889559118,0.8896,-0.0022,-32.9825
897555110,0.8976,-0.0040,-30.3266
905551102,0.9056,-0.0065,-28.2496
913547094,0.9135,-0.0097,-26.5370
921543086,0.9215,-0.0135,-25.0754
929539078,0.9295,-0.0182,-23.7975
937535070,0.9375,-0.0236,-22.6600
945531062,0.9455,-0.0299,-21.6335
953527054,0.9535,-0.0371,-20.6970
961523046,0.9615,-0.0453,-19.8350
969519038,0.9695,-0.0546,-19.0360
977515030,0.9775,-0.0649,-18.2907
985511022,0.9855,-0.0763,-17.5922
993507014,0.9935,-0.0889,-16.9345
1001503006,1.0015,-0.1027,-16.3131
1009498998,1.0095,-0.1178,-15.7239
1017494990,1.0175,-0.1343,-15.1638
1025490982,1.0255,-0.1522,-14.6301
1033486974,1.0335,-0.1715,-14.1204
1041482966,1.0415,-0.1924,-13.6326
1049478958,1.0495,-0.2148,-13.1652
1057474950,1.0575,-0.2388,-12.7166
1065470942,1.0655,-0.2645,-12.2854
1073466934,1.0735,-0.2919,-11.8706
1081462926,1.0815,-0.3211,-11.4710
1089458918,1.0895,-0.3521,-11.0859
1097454910,1.0975,-0.3850,-10.7144
1105450902,1.1055,-0.4198,-10.3558
1113446894,1.1134,-0.4565,-10.0095
1121442886,1.1214,-0.4953,-9.6748
1129438878,1.1294,-0.5360,-9.3512
1137434870,1.1374,-0.5789,-9.0383
1145430862,1.1454,-0.6238,-8.7356
1153426854,1.1534,-0.6709,-8.4427
1161422846,1.1614,-0.7201,-8.1592
1169418838,1.1694,-0.7714,-7.8848
1177414830,1.1774,-0.8250,-7.6192
1185410822,1.1854,-0.8808,-7.3621
1193406814,1.1934,-0.9388,-7.1131
1201402806,1.2014,-0.9990,-6.8721
1209398798,1.2094,-1.0615,-6.6387
1217394790,1.2174,-1.1261,-6.4128
1225390782,1.2254,-1.1931,-6.1941
1233386774,1.2334,-1.2622,-5.9825
1241382766,1.2414,-1.3335,-5.7776
1249378758,1.2494,-1.4070,-5.5794
1257374749,1.2574,-1.4827,-5.3876
1265370741,1.2654,-1.5605,-5.2020
1273366733,1.2734,-1.6405,-5.0225
1281362725,1.2814,-1.7225,-4.8490
1289358717,1.2894,-1.8067,-4.6811
1297354709,1.2974,-1.8928,-4.5189
1305350701,1.3054,-1.9809,-4.3620
1313346693,1.3133,-2.0710,-4.2105
1321342685,1.3213,-2.1630,-4.0640
1329338677,1.3293,-2.2568,-3.9226
1337334669,1.3373,-2.3524,-3.7859
1345330661,1.3453,-2.4498,-3.6539
1353326653,1.3533,-2.5490,-3.5265
1361322645,1.3613,-2.6497,-3.4035
1369318637,1.3693,-2.7521,-3.2848
1377314629,1.3773,-2.8560,-3.1702
1385310621,1.3853,-2.9615,-3.0597
1393306613,1.3933,-3.0683,-2.9530
1401302605,1.4013,-3.1766,-2.8502
1409298597,1.4093,-3.2861,-2.7509
1417294589,1.4173,-3.3970,-2.6553
1425290581,1.4253,-3.5090,-2.5630
1433286573,1.4333,-3.6222,-2.4740
1441282565,1.4413,-3.7365,-2.3883
1449278557,1.4493,-3.8519,-2.3056
1457274549,1.4573,-3.9682,-2.2260
1465270541,1.4653,-4.0855,-2.1492
1473266533,1.4733,-4.2036,-2.0752
1481262525,1.4813,-4.3226,-2.0039
1489258517,1.4893,-4.4424,-1.9352
1497254509,1.4973,-4.5628,-1.8690
1505250501,1.5053,-4.6840,-1.8052
1513246493,1.5132,-4.8058,-1.7437
1521242485,1.5212,-4.9281,-1.6845
1529238477,1.5292,-5.0510,-1.6275
1537234469,1.5372,-5.1744,-1.5725
1545230461,1.5452,-5.2982,-1.5196
1553226453,1.5532,-5.4225,-1.4686
1561222445,1.5612,-5.5471,-1.4194
1569218437,1.5692,-5.6720,-1.3721
1577214429,1.5772,-5.7972,-1.3265
1585210421,1.5852,-5.9227,-1.2825
1593206413,1.5932,-6.0484,-1.2402
1601202405,1.6012,-6.1742,-1.1994
1609198397,1.6092,-6.3002,-1.1600
1617194389,1.6172,-6.4263,-1.1221
1625190381,1.6252,-6.5526,-1.0856
1633186373,1.6332,-6.6788,-1.0504
1641182365,1.6412,-6.8051,-1.0165
1649178357,1.6492,-6.9314,-0.9838
1657174349,1.6572,-7.0577,-0.9523
1665170341,1.6652,-7.1840,-0.9219
1673166333,1.6732,-7.3101,-0.8926
1681162325,1.6812,-7.4362,-0.8643
1689158317,1.6892,-7.5622,-0.8370
1697154309,1.6972,-7.6880,-0.8108
1705150301,1.7052,-7.8137,-0.7854
1713146293,1.7131,-7.9392,-0.7609
1721142285,1.7211,-8.0646,-0.7373
1729138277,1.7291,-8.1897,-0.7146
1737134269,1.7371,-8.3146,-0.6926
1745130261,1.7451,-8.4393,-0.6714
1753126253,1.7531,-8.5638,-0.6509
1761122244,1.7611,-8.6880,-0.6312
1769118236,1.7691,-8.8119,-0.6121
1777114228,1.7771,-8.9355,-0.5937
1785110220,1.7851,-9.0589,-0.5759
1793106212,1.7931,-9.1819,-0.5588
