sample_idx,filter_band,gt_order,pred_order,correct
1,bandpass,5,4,0
7,bandpass,7,6,0
15,highpass,7,7,1
23,bandpass,5,4,0
29,highpass,4,4,1
35,lowpass,6,6,1
41,bandpass,7,7,1
48,lowpass,4,4,1
57,lowpass,5,5,1
64,lowpass,7,7,1
71,bandpass,5,4,0
78,lowpass,5,5,1
84,bandpass,4,3,0
91,bandpass,5,4,0
99,highpass,5,5,1
107,highpass,7,7,1
113,bandpass,3,3,1
121,highpass,5,5,1
130,highpass,7,7,1
137,lowpass,4,4,1
144,lowpass,7,7,1
150,bandpass,6,5,0
157,lowpass,4,4,1
165,highpass,5,5,1
171,lowpass,4,4,1
177,lowpass,7,7,1
183,lowpass,4,4,1
190,lowpass,7,7,1
197,highpass,3,3,1
203,bandpass,5,6,0
209,lowpass,7,7,1
216,highpass,6,6,1
222,bandpass,3,3,1
228,bandpass,5,5,1
234,lowpass,3,3,1
240,lowpass,7,7,1
247,bandpass,3,3,1
253,lowpass,7,7,1
261,highpass,4,4,1
267,highpass,5,5,1
274,bandpass,3,3,1
280,bandpass,5,6,0
287,lowpass,5,5,1
295,lowpass,3,3,1
303,lowpass,5,5,1
311,bandpass,5,4,0
318,bandpass,5,4,0
325,lowpass,4,4,1
332,lowpass,6,6,1
338,bandpass,7,6,0
344,highpass,7,7,1
353,highpass,7,7,1
360,highpass,4,4,1
366,bandpass,5,5,1
372,lowpass,7,7,1
378,highpass,4,4,1
384,lowpass,6,6,1
390,lowpass,5,5,1
398,lowpass,3,3,1
404,highpass,7,7,1
410,bandpass,4,5,0
416,lowpass,4,4,1
423,highpass,4,4,1
431,highpass,3,3,1
440,bandpass,5,5,1
446,highpass,7,7,1
453,highpass,7,7,1
459,bandpass,5,4,0
465,highpass,4,4,1
471,bandpass,5,6,0
478,bandpass,5,4,0
484,lowpass,6,7,0
492,lowpass,6,6,1
500,bandpass,7,7,1
506,lowpass,5,5,1
513,lowpass,5,5,1
519,lowpass,3,3,1
525,highpass,5,5,1
532,highpass,3,3,1
540,lowpass,6,6,1
548,highpass,3,3,1
554,highpass,7,7,1
560,bandpass,7,7,1
566,bandpass,6,6,1
573,bandpass,7,7,1
579,bandpass,5,5,1
588,lowpass,3,3,1
597,highpass,5,5,1
605,highpass,4,4,1
611,lowpass,4,4,1
620,lowpass,5,5,1
626,highpass,3,3,1
634,lowpass,3,3,1
644,bandpass,4,3,0
650,lowpass,3,3,1
657,highpass,4,4,1
666,lowpass,5,5,1
673,lowpass,7,7,1
683,highpass,5,6,0
690,lowpass,5,5,1
696,highpass,4,4,1
702,highpass,4,4,1
710,lowpass,7,7,1
717,lowpass,5,5,1
723,lowpass,6,6,1
729,lowpass,3,3,1
736,highpass,7,7,1
742,lowpass,5,5,1
749,lowpass,6,6,1
756,lowpass,6,6,1
762,bandpass,3,3,1
768,lowpass,5,5,1
774,bandpass,3,3,1
780,highpass,3,3,1
787,highpass,5,5,1
794,highpass,5,5,1
800,bandpass,6,6,1
808,lowpass,4,4,1
814,highpass,3,3,1
825,lowpass,6,6,1
831,lowpass,3,3,1
837,highpass,4,4,1
844,bandpass,5,6,0
850,bandpass,5,4,0
858,highpass,6,6,1
865,lowpass,6,6,1
871,bandpass,3,3,1
880,highpass,3,3,1
888,bandpass,7,5,0
894,lowpass,5,5,1
901,bandpass,6,6,1
907,lowpass,7,7,1
913,bandpass,7,7,1
921,bandpass,5,4,0
928,lowpass,6,6,1
934,bandpass,4,4,1
940,highpass,5,5,1
947,lowpass,4,4,1
953,lowpass,4,4,1
959,bandpass,4,3,0
965,lowpass,5,5,1
972,highpass,3,3,1
980,highpass,3,3,1
987,lowpass,5,5,1
993,highpass,7,7,1
1003,highpass,4,4,1
1010,lowpass,7,7,1
1017,lowpass,7,7,1
1024,highpass,5,5,1
1030,highpass,3,3,1
1036,lowpass,7,7,1
1043,lowpass,5,5,1
1049,bandpass,5,4,0
1056,highpass,5,5,1
1062,highpass,4,4,1
1068,highpass,7,7,1
1074,lowpass,7,7,1
1082,lowpass,6,6,1
1088,lowpass,3,3,1
1094,bandpass,5,4,0
1100,highpass,7,7,1
1107,bandpass,6,5,0
1115,lowpass,7,7,1
1122,bandpass,7,5,0
1128,lowpass,4,4,1
1135,bandpass,6,6,1
1142,bandpass,3,3,1
1149,highpass,7,7,1
1156,highpass,4,4,1
1162,highpass,3,3,1
1168,bandpass,7,7,1
1175,lowpass,4,4,1
1182,bandpass,4,3,0
1188,bandpass,5,5,1
1194,highpass,3,3,1
