Freq_Hz,Freq_GHz,S21_N3_dB,S21_N4_dB,S21_N5_dB,S21_N6_dB
10000000,0.0100,-0.0001,-0.1000,-0.0003,-0.1000
13993994,0.0140,-0.0002,-0.1001,-0.0005,-0.0999
17987988,0.0180,-0.0003,-0.1001,-0.0008,-0.0999
21981982,0.0220,-0.0004,-0.1002,-0.0012,-0.0999
25975976,0.0260,-0.0006,-0.1003,-0.0017,-0.0998
29969970,0.0300,-0.0008,-0.1003,-0.0023,-0.0997
33963964,0.0340,-0.0010,-0.1004,-0.0029,-0.0997
37957958,0.0380,-0.0013,-0.1005,-0.0036,-0.0996
41951952,0.0420,-0.0016,-0.1007,-0.0044,-0.0995
45945946,0.0459,-0.0019,-0.1008,-0.0052,-0.0994
49939940,0.0499,-0.0023,-0.1009,-0.0062,-0.0993
53933934,0.0539,-0.0026,-0.1011,-0.0072,-0.0992
57927928,0.0579,-0.0030,-0.1012,-0.0083,-0.0990
61921922,0.0619,-0.0035,-0.1014,-0.0094,-0.0989
65915916,0.0659,-0.0039,-0.1016,-0.0106,-0.0987
69909910,0.0699,-0.0044,-0.1018,-0.0119,-0.0986
73903904,0.0739,-0.0049,-0.1020,-0.0132,-0.0984
77897898,0.0779,-0.0054,-0.1022,-0.0146,-0.0982
81891892,0.0819,-0.0060,-0.1025,-0.0160,-0.0980
85885886,0.0859,-0.0066,-0.1027,-0.0175,-0.0978
89879880,0.0899,-0.0072,-0.1030,-0.0191,-0.0975
93873874,0.0939,-0.0078,-0.1032,-0.0207,-0.0973
97867868,0.0979,-0.0085,-0.1035,-0.0224,-0.0970
101861862,0.1019,-0.0092,-0.1038,-0.0241,-0.0967
105855856,0.1059,-0.0099,-0.1041,-0.0258,-0.0964
109849850,0.1098,-0.0106,-0.1044,-0.0276,-0.0961
113843844,0.1138,-0.0114,-0.1047,-0.0294,-0.0958
117837838,0.1178,-0.0122,-0.1050,-0.0313,-0.0954
121831832,0.1218,-0.0130,-0.1053,-0.0331,-0.0951
125825826,0.1258,-0.0138,-0.1057,-0.0351,-0.0947
129819820,0.1298,-0.0146,-0.1060,-0.0370,-0.0943
133813814,0.1338,-0.0155,-0.1064,-0.0389,-0.0939
137807808,0.1378,-0.0164,-0.1068,-0.0409,-0.0934
141801802,0.1418,-0.0173,-0.1071,-0.0429,-0.0929
145795796,0.1458,-0.0182,-0.1075,-0.0449,-0.0925
149789790,0.1498,-0.0192,-0.1079,-0.0469,-0.0919
153783784,0.1538,-0.0202,-0.1083,-0.0490,-0.0914
157777778,0.1578,-0.0211,-0.1087,-0.0510,-0.0909
